id,numero,nome,endereco,projeto,canal,porte,observacao,domicilio,status,insert_data,update_data,lat,lng,porte_especial,cidade_consulta,cep_consulta
146834,6094,C&C TRANSPORTES COMERCIO E REPRESENTAÇÕES ,"RUA W5,218 - SEM COMPLEMENTO - CONJUNTO TUCUMA - RIO BRANCO/AC - 69919-766",PARCEIRO,PARCEIRO,t,"EM CASO DE DUVIDA, POR FAVOR ENTRAR EM CONTATO VIA E-MAIL: COLETA@ABREE.ORG.BR OU VIA WHATSAPP +55 11 97811-6126 E +55 11 98991-4558",n,a,1728997112,1745357127,-9.950981104480448,-67.86097930424845,n,Rio Branco,69900-973
145372,3641,MAGAZINE LUIZA S/A - MACEIO - RUA DO COMERCIO GALERIA,"DO COMERCIO, 193 - SEM COMPLEMENTO - SEM BAIRRO - 57.020-000 - MACEIO/AL",MAGAZINE LUIZA,VAREJO,t,"EM CASO DE DÚVIDA OU PARA DESCARTE DE PRODUTOS DE MAIOR PORTE COMO GELADEIRAS E FOGÕES, POR FAVOR ENTRAR EM CONTATO VIA E-MAIL: COLETA@ABREE.ORG.BR OU VIA WHATSAPP +55 11 97811-6126 E +55 11 98991-4558",n,a,1706757973,1745356427,-9.6512580,-35.7061310,n,Maceió,57051-000
145373,3642,MAGAZINE LUIZA S/A - MACEIO - SHOP. MACEIO,"AVENIDA COMENDADOR GUSTAVO PAIVA, 2990 - SEM COMPLEMENTO - SEM BAIRRO - 57.037-901 - MACEIO/AL",MAGAZINE LUIZA,VAREJO,t,"EM CASO DE DÚVIDA OU PARA DESCARTE DE PRODUTOS DE MAIOR PORTE COMO GELADEIRAS E FOGÕES, POR FAVOR ENTRAR EM CONTATO VIA E-MAIL: COLETA@ABREE.ORG.BR OU VIA WHATSAPP +55 11 97811-6126 E +55 11 98991-4558",n,a,1706757973,1745356428,-9.6273485,-35.6988530,n,Maceió,57051-000
145371,3640,MAGAZINE LUIZA S/A - MACEIO - COFAL,"FERNANDES LIMA, 812 - SEM COMPLEMENTO - SEM BAIRRO - 57.050-000 - MACEIO/AL",MAGAZINE LUIZA,VAREJO,t,"EM CASO DE DÚVIDA OU PARA DESCARTE DE PRODUTOS DE MAIOR PORTE COMO GELADEIRAS E FOGÕES, POR FAVOR ENTRAR EM CONTATO VIA E-MAIL: COLETA@ABREE.ORG.BR OU VIA WHATSAPP +55 11 97811-6126 E +55 11 98991-4558",n,a,1706757973,1745356427,-9.6512580,-35.7061310,n,Maceió,57051-000
143078,80,BIODIGITAL,"RUA PEDROSA, 89 - TABULEIRO DO MARTINS - SEM BAIRRO - 57.081-510 - MACEIO/AL",PARCEIRO,PARCEIRO,t,"EM CASO DE DÚVIDA OU PARA DESCARTE DE PRODUTOS DE MAIOR PORTE COMO GELADEIRAS E FOGÕES, POR FAVOR ENTRAR EM CONTATO VIA E-MAIL: COLETA@ABREE.ORG.BR OU VIA WHATSAPP +55 11 97811-6126 E +55 11 98991-4558",n,a,1706756766,1744035753,-9.5776971,-35.7686217,n,Maceió,57051-000
145992,4308,NOVA SERV COMERCIO E SERVICO DE PECAS LTDA,"RUA ELOI DE LEMOS FRANCA, 287 - SEM COMPLEMENTO - GRUTA DE LOURDES - 57052-880 - MACEIO/AL",AT,ASSISTENCIA TECNICA,t,SEGUIR AS ORIENTACOES DO PONTO DE RECEBIMENTO PARA OS PRODUTOS QUE NAO COUBEREM NO COLETOR,n,a,1706758275,1706758275,-9.6158210,-35.7346080,n,Maceió,57051-000
145521,3793,MIDEA - TOTALINE MANAUS,"AVENIDA DJALMA BATISTA, 568 - SEM COMPLEMENTO - CHAPADA - 69050-010 - MANAUS/AM",ASSOCIADO,VAREJO,t,"EM CASO DE DÚVIDA OU PARA DESCARTE DE PRODUTOS DE MAIOR PORTE COMO GELADEIRAS E FOGÕES, POR FAVOR ENTRAR EM CONTATO VIA E-MAIL: COLETA@ABREE.ORG.BR OU VIA WHATSAPP +55 11 97811-6126 E +55 11 98991-4558",n,a,1706758047,1745356509,-3.0839349,-60.0240106,n,Manaus,69010-001
143582,618,KWM,"AVENIDA BURITI, 5500 - DISTRITO INDUSTRIAL I - 69.075-900 - MANAUS/AM",PARCEIRO,PARCEIRO,t,"EM CASO DE DÚVIDA OU PARA DESCARTE DE PRODUTOS DE MAIOR PORTE COMO GELADEIRAS E FOGÕES, POR FAVOR ENTRAR EM CONTATO VIA E-MAIL: COLETA@ABREE.ORG.BR OU VIA WHATSAPP +55 11 97811-6126 E +55 11 98991-4558",n,a,1706757135,1744035889,-3.1065744,-59.9489111,n,Manaus,69010-001
143417,432,DOUGLAS SANTANA DE SOUZA,"RUA IRITAMA, 122 - CJ. OSWALDO FROTA - CIDADE NOVA - 69097-750 - MANAUS/AM",AT,ASSISTÊNCIA TÉCNICA,t,"EM CASO DE DÚVIDA OU PARA DESCARTE DE PRODUTOS DE MAIOR PORTE COMO GELADEIRAS E FOGÕES, POR FAVOR ENTRAR EM CONTATO VIA E-MAIL: COLETA@ABREE.ORG.BR OU VIA WHATSAPP +55 11 97811-6126 E +55 11 98991-4558",n,a,1706756925,1744035805,-3.0142773,-59.9724281,n,Manaus,69010-001
143372,386,COLORTEL COMERCIO E ASSESSORIA TECNICA LTDA,"RUA CARMEN MIRANDA, 1025 - SEM COMPLEMENTO - CACHOEIRINHA - 69065-160 - MANAUS/AM",AT,ASSISTÊNCIA TÉCNICA,t,SEGUIR AS ORIENTACOES DO PONTO DE RECEBIMENTO PARA OS PRODUTOS QUE NAO COUBEREM NO COLETOR,n,a,1706756905,1706756905,-3.1300144,-60.0044222,n,Manaus,69010-001
